files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
2,MB,/greys-anatomy-s12e23-hdtv-x264-lol-ettv-t12588324.html,"12 May 2016, 23:48",Greys Anatomy S12E23 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:6193EC98B03253859EE76C8E0526CBBCD19ED251&dn=greys+anatomy+s12e23+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,843,/torrents.php?key=quantico.s01e22.hdtv.x264.lol.ettv,26,248.83 
4,MB,/greys-anatomy-s12e24-hdtv-x264-killers-rartv-t12627186.html,"19 May 2016, 23:09",Greys Anatomy S12E24 HDTV x264-KILLERS[rartv],magnet:?xt=urn:btih:B6042CDB97AD8662684CB8DEE53842068AB7FFE1&dn=greys+anatomy+s12e24+hdtv+x264+killers+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,785,/torrents.php?key=supernatural.s11e23.hdtv.x264.lol.ettv,128,273.49 
2,MB,/quantico-s01e22-hdtv-x264-lol-ettv-t12605170.html,"15 May 2016, 23:51",Quantico S01E22 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:1E5F8A1F4BA3A703A45B09984A1D06D93E2C2D47&dn=quantico+s01e22+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,822,/torrents.php?key=12.monkeys.s02e12.hdtv.x264.fleet.rartv,48,282.55 
7,GB,/2016-bet-awards-eng-subs-sdtv-x264-2maverick-t12842170.html,"27 Jun 2016, 05:43",2016 BET Awards (Eng Subs) SDTV x264-[2Maverick],magnet:?xt=urn:btih:EA585CEBC2ADDA376B630BDE7C8D0BCB3CD6B810&dn=2016+bet+awards+eng+subs+sdtv+x264+2maverick&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,714,/torrents.php?key=2016.bet.awards.eng.subs.sdtv.x264.2maverick,134,2.17 
2,MB,/stranger-things-s01e02-webrip-x264-turbo-ettv-t12946157.html,"15 Jul 2016, 13:34",Stranger Things S01E02 WEBRip x264-TURBO[ettv],magnet:?xt=urn:btih:CCBFAFDA2E64576B4BDA13B5566306CE92F80D1A&dn=stranger+things+s01e02+webrip+x264+turbo+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,2043,/torrents.php?key=stranger.things.s01e02.webrip.x264.turbo.ettv,189,255.8 
2,MB,/pretty-little-liars-s07e05-hdtv-x264-lol-ettv-t12973926.html,"20 Jul 2016, 01:01",Pretty Little Liars S07E05 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:AF35326A6984A8DEFC02F4ECEF261C46C41DB320&dn=pretty+little+liars+s07e05+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1744,/torrents.php?key=pretty.little.liars.s07e05.hdtv.x264.lol.ettv,533,206.8 
2,MB,/the-flash-2014-s02e23-hdtv-x264-lol-ettv-t12656070.html,"25 May 2016, 01:01",The Flash 2014 S02E23 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:63C89D7F5A4EE4574194376746CCFE0ADA0976F1&dn=the+flash+2014+s02e23+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1943,/torrents.php?key=the.flash.2014.s02e23.hdtv.x264.lol.ettv,54,244.26 
2,MB,/stranger-things-s01e03-webrip-x264-turbo-ettv-t12946266.html,"15 Jul 2016, 14:01",Stranger Things S01E03 WEBRip x264-TURBO[ettv],magnet:?xt=urn:btih:C2B0712715EC40602EB4F10A56D395598D75405C&dn=stranger+things+s01e03+webrip+x264+turbo+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1857,/torrents.php?key=stranger.things.s01e03.webrip.x264.turbo.ettv,207,268.07 
3,MB,/pretty-little-liars-s07e02-hdtv-x264-lol-rartv-t12852108.html,"29 Jun 2016, 00:57",Pretty Little Liars S07E02 HDTV x264-LOL[rartv],magnet:?xt=urn:btih:6EFE3DD428AADA05235A14237102B5DBA8F10C19&dn=pretty+little+liars+s07e02+hdtv+x264+lol+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1391,/torrents.php?key=pretty.little.liars.s07e02.hdtv.x264.lol.rartv,55,199.57 
3,MB,/keeping-up-with-the-kardashians-s12e10-iced-out-hdtv-x264-crimson-rartv-t12919935.html,"11 Jul 2016, 03:27",Keeping Up With the Kardashians S12E10 Iced Out HDTV x264-CRiMSON[rartv],magnet:?xt=urn:btih:ECF710307734CEC5E9F17D22501CB335BD91E51D&dn=keeping+up+with+the+kardashians+s12e10+iced+out+hdtv+x264+crimson+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1388,/torrents.php?key=keeping.up.with.the.kardashians.s12e10.iced.out.hdtv.x264.crimson.rartv,50,344.53 
