files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
14,MB,/superhot-update-4-2016-r-g-mechanics-t12483371.html,"23 Apr 2016, 18:42",SUPERHOT [+Update 4] (2016) [R.G. Mechanics],magnet:?xt=urn:btih:CCEEB6705D5760A50C4CBCBB69D5D715F747187B&dn=superhot+update+4+2016+r+g+mechanics&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,502,/torrents.php?key=superhot.update.4.2016.r.g.mechanics,5,787.78 
2,GB,/euro-truck-simulator-2-v1-24-1-1-35-dlc-2-click-run-t12728376.html,"06 Jun 2016, 19:37",Euro Truck Simulator 2 v1.24.1.1 (35 DLC)(2-click run),magnet:?xt=urn:btih:4246D7573CFDCCF2D95E2D5A82AFFC6246585656&dn=euro+truck+simulator+2+v1+24+1+1+35+dlc+2+click+run&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,480,/torrents.php?key=euro.truck.simulator.2.v1.24.1.1.35.dlc.2.click.run,45,2.42 
12,GB,/batman-arkham-knight-premium-edition-repack-mr-dj-t12965000.html,"18 Jul 2016, 13:36",Batman Arkham Knight - Premium Edition repack Mr DJ,magnet:?xt=urn:btih:9C5F46E19689BED8FCF414DD0D1E0826FC4BE0AD&dn=batman+arkham+knight+premium+edition+repack+mr+dj&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,122,/torrents.php?key=batman.arkham.knight.premium.edition.repack.mr.dj,756,30.48 
23,GB,/call-of-juarez-gunslinger-v-1-0-5-2013-r-g-mechanics-t12228503.html,"10 Mar 2016, 22:14",Call of Juarez: Gunslinger [v 1.0.5] (2013) [R.G. Mechanics],magnet:?xt=urn:btih:ECBB25F020C39907BB1A379953D26D156B5C74D1&dn=call+of+juarez+gunslinger+v+1+0+5+2013+r+g+mechanics&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,488,/torrents.php?key=call.of.juarez.gunslinger.v.1.0.5.2013.r.g.mechanics,21,2.01 
4,MB,/american-truck-simulator-2016-repack-r-g-freedom-t12015577.html,"03 Feb 2016, 17:50",American Truck Simulator (2016) RePack - R.G. Freedom,magnet:?xt=urn:btih:0E693D3E98A3451A8CE778CC6DDBB05A4995F934&dn=american+truck+simulator+2016+repack+r+g+freedom&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,683,/torrents.php?key=american.truck.simulator.2016.repack.r.g.freedom,15,783.89 
1,MB,/euro-truck-simulator-2-full-p2p-t6752032.html,"20 Oct 2012, 12:39",Euro Truck Simulator 2 FULL-P2P,magnet:?xt=urn:btih:FFEFEC66792EC423CC01804E289BC6E69E6E0300&dn=euro+truck+simulator+2+full+p2p&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,687,/torrents.php?key=euro.truck.simulator.2.full.p2p,2,552.97 
9,GB,/euro-truck-simulator-2-v-1-24-3s-40-dlc-2013-repack-xatab-t12853185.html,"29 Jun 2016, 07:15",Euro Truck Simulator 2 [v 1.24.3s + 40 DLC] (2013) RePack - Xatab,magnet:?xt=urn:btih:4B7C866ECB07AE13356DC3B5905316CC0BABDB93&dn=euro+truck+simulator+2+v+1+24+3s+40+dlc+2013+repack+xatab&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,652,/torrents.php?key=euro.truck.simulator.2.v.1.24.3s.40.dlc.2013.repack.xatab,48,1.49 
3,GB,/earth-defense-force-4-1-the-shadow-of-new-despair-codex-t12970380.html,"19 Jul 2016, 10:53",EARTH DEFENSE FORCE 4 1 The Shadow of New Despair-CODEX,magnet:?xt=urn:btih:787CADD9C515C01B7C03692C020A1324E377AC2A&dn=earth+defense+force+4+1+the+shadow+of+new+despair+codex&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,401,/torrents.php?key=earth.defense.force.4.1.the.shadow.of.new.despair.codex,509,6.64 
2,MB,/undertale-gog-t12185158.html,"03 Mar 2016, 17:07",Undertale (GOG),magnet:?xt=urn:btih:26987E9B3C2733F0D926DE609E32DBDE022C1250&dn=undertale+gog&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,207,/torrents.php?key=undertale.gog,2,124.15 
3,MB,/enter-the-gungeon-gog-t12383021.html,"06 Apr 2016, 03:05",Enter the Gungeon (GOG),magnet:?xt=urn:btih:FE5199FD423BE82C4C98A0C0974C7038BE378A7D&dn=enter+the+gungeon+gog&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,203,/torrents.php?key=enter.the.gungeon.gog,6,302.02 
